CustomerID,CustomerName,FirstName,LastName,BirthDate,EmailAddress,username,fullname,CUIT,Country,Document,Agent
27,"Tailspin Toys (Bowlus, MN)",Harold,Sai,01/10/1951,harold3@adventure-works.com,harold3,Harold Sai,,Australia,AW00011026,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/600.6.3 (KHTML, like Gecko) Version/8.0.6 Safari/600.6.3"
28,"Tailspin Toys (North Ridge, NY)",Jessie,Zhao,05/06/1952,jessie16@adventure-works.com,jessie16,Jessie Zhao,,Australia,AW00011027,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/600.5.17 (KHTML, like Gecko) Version/8.0.5 Safari/600.5.17"
29,"Tailspin Toys (Eulaton, AL)",Jill,Jimenez,09/10/1951,jill13@adventure-works.com,jill13,Jill Jimenez,,Australia,AW00011028,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0
30,"Tailspin Toys (Koontzville, WA)",Jimmy,Moreno,19/06/1952,jimmy9@adventure-works.com,jimmy9,Jimmy Moreno,,Australia,AW00011029,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36"
31,"Tailspin Toys (Lake Stevens, WA)",Bethany,Yuan,18/02/1958,bethany10@adventure-works.com,bethany10,Bethany Yuan,,Australia,AW00011030,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_4_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H321 Safari/600.1.4"
32,"Tailspin Toys (Maypearl, TX)",Theresa,Ramos,18/02/1953,theresa13@adventure-works.com,theresa13,Theresa Ramos,,Australia,AW00011031,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko
33,"Tailspin Toys (Boyden Arbor, SC)",Denise,Stone,08/12/1952,denise10@adventure-works.com,denise10,Denise Stone,,Australia,AW00011032,"Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53"
34,"Tailspin Toys (Dallardsville, TX)",Jaime,Nath,19/09/1958,jaime41@adventure-works.com,jaime41,Jaime Nath,,Australia,AW00011033,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)
35,"Tailspin Toys (Slanesville, WV)",Ebony,Gonzalez,16/12/1952,ebony19@adventure-works.com,ebony19,Ebony Gonzalez,,Australia,AW00011034,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36"
36,"Tailspin Toys (Ekron, KY)",Wendy,Dominguez,23/08/1953,wendy12@adventure-works.com,wendy12,Wendy Dominguez,,Australia,AW00011035,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36"
37,"Tailspin Toys (Kerby, OR)",Jennifer,Russell,16/06/1984,jennifer93@adventure-works.com,jennifer93,Jennifer Russell,,United States,AW00011036,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:40.0) Gecko/20100101 Firefox/40.0
38,"Tailspin Toys (Airport Drive, MO)",Chloe,Garcia,27/05/1983,chloe27@adventure-works.com,chloe27,Chloe Garcia,,Canada,AW00011037,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)
39,"Tailspin Toys (Diablock, KY)",Diana,Hernandez,20/09/1953,diana2@adventure-works.com,diana2,Diana Hernandez,,Australia,AW00011038,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36"
40,"Tailspin Toys (Impact, TX)",Marc,Martin,16/06/1954,marc3@adventure-works.com,marc3,Marc Martin,,Australia,AW00011039,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36"
41,"Tailspin Toys (Olivette, MO)",Jesse,Murphy,29/01/1983,jesse15@adventure-works.com,jesse15,Jesse Murphy,,United States,AW00011040,"Mozilla/5.0 (X11; CrOS x86_64 7077.134.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.156 Safari/537.36"
42,"Tailspin Toys (Arietta, NY)",Amanda,Carter,15/04/1983,amanda53@adventure-works.com,amanda53,Amanda Carter,,United States,AW00011041,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16"
43,"Tailspin Toys (Upper Preston, WA)",Megan,Sanchez,11/12/1982,megan28@adventure-works.com,megan28,Megan Sanchez,,United States,AW00011042,Mozilla/5.0 (Windows NT 6.0; rv:40.0) Gecko/20100101 Firefox/40.0
44,"Tailspin Toys (Amanda Park, WA)",Nathan,Simmons,23/08/1981,nathan11@adventure-works.com,nathan11,Nathan Simmons,,United States,AW00011043,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:40.0) Gecko/20100101 Firefox/40.0
45,"Tailspin Toys (Severna Park, MD)",Adam,Flores,21/11/1954,adam10@adventure-works.com,adam10,Adam Flores,,Australia,AW00011044,"Mozilla/5.0 (iPad; CPU OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B466 Safari/600.1.4"
46,"Tailspin Toys (Jemison, AL)",Leonard,Nara,16/11/1955,leonard18@adventure-works.com,leonard18,Leonard Nara,,Australia,AW00011045,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/600.3.18 (KHTML, like Gecko) Version/8.0.3 Safari/600.3.18"
47,"Tailspin Toys (Lake Hughes, CA)",Christine,Yuan,19/09/1955,christine4@adventure-works.com,christine4,Christine Yuan,,Australia,AW00011046,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36"
48,"Tailspin Toys (Trentwood, WA)",Jaclyn,Lu,27/08/1955,jaclyn12@adventure-works.com,jaclyn12,Jaclyn Lu,,Australia,AW00011047,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36"
49,"Tailspin Toys (Muir, MI)",Jeremy,Powell,21/05/1956,jeremy26@adventure-works.com,jeremy26,Jeremy Powell,,Australia,AW00011048,Mozilla/5.0 (Windows NT 6.1; Win64; x64; Trident/7.0; rv:11.0) like Gecko
50,"Tailspin Toys (Hambleton, WV)",Carol,Rai,15/01/1986,carol8@adventure-works.com,carol8,Carol Rai,,United States,AW00011049,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36"
51,"Tailspin Toys (Imlaystown, NJ)",Alan,Zheng,06/03/1957,alan23@adventure-works.com,alan23,Alan Zheng,,Australia,AW00011050,"Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4"
52,"Tailspin Toys (Idria, CA)",Daniel,Johnson,31/01/1957,daniel18@adventure-works.com,daniel18,Daniel Johnson,,Australia,AW00011051,"Mozilla/5.0 (Linux; U; Android 4.0.3; en-us; KFTT Build/IML74K) AppleWebKit/537.36 (KHTML, like Gecko) Silk/3.68 like Chrome/39.0.2171.93 Safari/537.36"
53,"Tailspin Toys (Nanafalia, AL)",Heidi,Lopez,03/02/1957,heidi19@adventure-works.com,heidi19,Heidi Lopez,,Australia,AW00011052,"Mozilla/5.0 (iPad; CPU OS 8_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12D508 Safari/600.1.4"
54,"Tailspin Toys (Railroad, PA)",Ana,Price,17/02/1986,ana0@adventure-works.com,ana0,Ana Price,,United States,AW00011053,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:39.0) Gecko/20100101 Firefox/39.0
55,"Tailspin Toys (Gum Branch, GA)",Deanna,Munoz,07/09/1957,deanna33@adventure-works.com,deanna33,Deanna Munoz,,Australia,AW00011054,"Mozilla/5.0 (iPad; CPU OS 7_1_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D201 Safari/9537.53"
56,"Tailspin Toys (Royal City, WA)",Gilbert,Raje,02/09/1957,gilbert35@adventure-works.com,gilbert35,Gilbert Raje,,Australia,AW00011055,"Mozilla/5.0 (Linux; U; Android 4.4.3; en-us; KFTHWI Build/KTU84M) AppleWebKit/537.36 (KHTML, like Gecko) Silk/3.68 like Chrome/39.0.2171.93 Safari/537.36"
57,"Tailspin Toys (Lakemore, OH)",Michele,Nath,01/10/1958,michele19@adventure-works.com,michele19,Michele Nath,,Australia,AW00011056,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.6.3 (KHTML, like Gecko) Version/7.1.6 Safari/537.85.15"
58,"Tailspin Toys (Mappsburg, VA)",Carl,Andersen,07/04/1970,carl12@adventure-works.com,carl12,Carl Andersen,,Australia,AW00011057,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/600.4.10 (KHTML, like Gecko) Version/8.0.4 Safari/600.4.10"
59,"Tailspin Toys (Edgartown, MA)",Marc,Diaz,23/04/1965,marc6@adventure-works.com,marc6,Marc Diaz,,Australia,AW00011058,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:40.0) Gecko/20100101 Firefox/40.0
60,"Tailspin Toys (East Dailey, WV)",Ashlee,Andersen,29/09/1959,ashlee19@adventure-works.com,ashlee19,Ashlee Andersen,,Australia,AW00011059,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2"
61,"Tailspin Toys (Fairfield Glade, TN)",Jon,Zhou,14/09/1959,jon28@adventure-works.com,jon28,Jon Zhou,,Australia,AW00011060,"Mozilla/5.0 (iPad; CPU OS 8_4_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) CriOS/45.0.2454.68 Mobile/12H321 Safari/600.1.4"
62,"Tailspin Toys (Great Neck Estates, NY)",Todd,Gao,20/02/1976,todd14@adventure-works.com,todd14,Todd Gao,,Australia,AW00011061,Mozilla/5.0 (Windows NT 6.3; Win64; x64; Trident/7.0; Touch; rv:11.0) like Gecko
63,"Tailspin Toys (Stallion Springs, CA)",Noah,Powell,01/03/1981,noah5@adventure-works.com,noah5,Noah Powell,,United States,AW00011062,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36"
64,"Tailspin Toys (Hodgdon, ME)",Angela,Murphy,04/10/1980,angela41@adventure-works.com,angela41,Angela Murphy,,United States,AW00011063,"Mozilla/5.0 (iPad; CPU OS 8_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B410 Safari/600.1.4"
65,"Tailspin Toys (North Cowden, TX)",Chase,Reed,05/06/1981,chase21@adventure-works.com,chase21,Chase Reed,,United States,AW00011064,"Mozilla/5.0 (iPad; CPU OS 7_0_4 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B554a Safari/9537.53"
66,"Tailspin Toys (Madaket, MA)",Jessica,Henderson,08/04/1979,jessica29@adventure-works.com,jessica29,Jessica Henderson,,United States,AW00011065,"Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36"
67,"Tailspin Toys (Sentinel Butte, ND)",Grace,Butler,27/05/1979,grace62@adventure-works.com,grace62,Grace Butler,,United States,AW00011066,Mozilla/5.0 (Windows NT 6.3; Win64; x64; Trident/7.0; rv:11.0) like Gecko
68,"Tailspin Toys (Gardere, LA)",Caleb,Carter,25/03/1982,caleb40@adventure-works.com,caleb40,Caleb Carter,,United States,AW00011067,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; TNJB; rv:11.0) like Gecko
69,"Tailspin Toys (Lytle Creek, CA)",Tiffany,Liang,19/09/1966,tiffany17@adventure-works.com,tiffany17,Tiffany Liang,,Australia,AW00011068,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
70,"Tailspin Toys (New Baden, IL)",Carolyn,Navarro,17/09/1966,carolyn30@adventure-works.com,carolyn30,Carolyn Navarro,,Australia,AW00011069,Mozilla/5.0 (Windows NT 6.3; ARM; Trident/7.0; Touch; rv:11.0) like Gecko
71,"Tailspin Toys (Good Hart, MI)",Willie,Raji,02/10/1960,willie40@adventure-works.com,willie40,Willie Raji,,Australia,AW00011070,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36"
72,"Tailspin Toys (Cortaro, AZ)",Linda,Serrano,23/12/1960,linda31@adventure-works.com,linda31,Linda Serrano,,Australia,AW00011071,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:40.0) Gecko/20100101 Firefox/40.0
73,"Tailspin Toys (Cokato, MN)",Casey,Luo,05/08/1960,casey6@adventure-works.com,casey6,Casey Luo,,Australia,AW00011072,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; MDDCJS; rv:11.0) like Gecko
74,"Tailspin Toys (Indios, PR)",Amy,Ye,11/02/1962,amy16@adventure-works.com,amy16,Amy Ye,,Australia,AW00011073,Mozilla/5.0 (Windows NT 6.0; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0
75,"Tailspin Toys (Windsor Locks, CT)",Levi,Arun,25/02/1962,levi6@adventure-works.com,levi6,Levi Arun,,Australia,AW00011074,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36"
76,"Tailspin Toys (Yewed, OK)",Felicia,Jimenez,16/05/1963,felicia4@adventure-works.com,felicia4,Felicia Jimenez,,Australia,AW00011075,Mozilla/5.0 (Windows NT 6.2; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0
77,"Tailspin Toys (Hahira, GA)",Blake,Anderson,10/01/1963,blake9@adventure-works.com,blake9,Blake Anderson,,Australia,AW00011076,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H143 Safari/600.1.4"
78,"Tailspin Toys (Sekiu, WA)",Leah,Ye,19/03/1963,leah7@adventure-works.com,leah7,Leah Ye,,Australia,AW00011077,"Mozilla/5.0 (Linux; U; Android 4.4.3; en-us; KFASWI Build/KTU84M) AppleWebKit/537.36 (KHTML, like Gecko) Silk/3.68 like Chrome/39.0.2171.93 Safari/537.36"
79,"Tailspin Toys (Page City, KS)",Gina,Martin,06/01/1985,gina1@adventure-works.com,gina1,Gina Martin,,Canada,AW00011078,"Mozilla/5.0 (iPad; CPU OS 8_4_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) GSA/7.0.55539 Mobile/12H321 Safari/600.1.4"
80,"Tailspin Toys (Valdese, NC)",Donald,Gonzalez,07/03/1970,donald20@adventure-works.com,donald20,Donald Gonzalez,,Australia,AW00011079,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.155 Safari/537.36"
81,"Tailspin Toys (Big Moose, NY)",Damien,Chander,13/01/1965,damien32@adventure-works.com,damien32,Damien Chander,,Australia,AW00011080,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36"
82,"Tailspin Toys (La Cueva, NM)",Savannah,Baker,21/01/1972,savannah39@adventure-works.com,savannah39,Savannah Baker,,United States,AW00011081,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36"
83,"Tailspin Toys (Absecon, NJ)",Angela,Butler,01/02/1972,angela17@adventure-works.com,angela17,Angela Butler,,United States,AW00011082,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko
84,"Tailspin Toys (Aceitunas, PR)",Alyssa,Cox,11/03/1977,alyssa37@adventure-works.com,alyssa37,Alyssa Cox,,United States,AW00011083,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:40.0) Gecko/20100101 Firefox/40.0
85,"Tailspin Toys (Andrix, CO)",Lucas,Phillips,12/03/1963,lucas7@adventure-works.com,lucas7,Lucas Phillips,,United States,AW00011084,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0
86,"Tailspin Toys (New Lexington, OH)",Emily,Johnson,16/01/1963,emily1@adventure-works.com,emily1,Emily Johnson,,United States,AW00011085,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F70 Safari/600.1.4"
87,"Tailspin Toys (Sauquoit, NY)",Ryan,Brown,22/06/1963,ryan43@adventure-works.com,ryan43,Ryan Brown,,United States,AW00011086,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; MATBJS; rv:11.0) like Gecko
88,"Tailspin Toys (Dracut, MA)",Tamara,Liang,02/04/1963,tamara6@adventure-works.com,tamara6,Tamara Liang,,United States,AW00011087,"Mozilla/5.0 (Linux; U; Android 4.0.4; en-us; KFJWI Build/IMM76D) AppleWebKit/537.36 (KHTML, like Gecko) Silk/3.68 like Chrome/39.0.2171.93 Safari/537.36"
89,"Tailspin Toys (Victory Gardens, NJ)",Hunter,Davis,25/05/1963,hunter64@adventure-works.com,hunter64,Hunter Davis,,United States,AW00011088,"Mozilla/5.0 (iPad; CPU OS 7_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D167 Safari/9537.53"
90,"Tailspin Toys (Tolna, ND)",Abigail,Price,05/08/1962,abigail25@adventure-works.com,abigail25,Abigail Price,,United States,AW00011089,"Mozilla/5.0 (X11; CrOS armv7l 7077.134.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.156 Safari/537.36"
91,"Tailspin Toys (Alstead, NH)",Trevor,Bryant,13/12/1968,trevor18@adventure-works.com,trevor18,Trevor Bryant,,United States,AW00011090,Mozilla/5.0 (X11; Linux x86_64; rv:34.0) Gecko/20100101 Firefox/34.0
92,"Tailspin Toys (Sans Souci, SC)",Dalton,Perez,02/10/1962,dalton37@adventure-works.com,dalton37,Dalton Perez,,Canada,AW00011091,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)
93,"Tailspin Toys (Clewiston, FL)",Cheryl,Diaz,02/11/1972,cheryl4@adventure-works.com,cheryl4,Cheryl Diaz,,Australia,AW00011092,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25"
94,"Tailspin Toys (Cheyenne Wells, CO)",Aimee,He,06/09/1978,aimee13@adventure-works.com,aimee13,Aimee He,,Australia,AW00011093,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.2.5 (KHTML, like Gecko) Version/8.0.2 Safari/600.2.5"
95,"Tailspin Toys (Lavon, TX)",Cedric,Ma,29/09/1967,cedric15@adventure-works.com,cedric15,Cedric Ma,,Australia,AW00011094,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36"
